type,question,options
TEXT,How accessible was the convention for participants?,Text
TEXT,What was the quality of the resources provided?,Text
TEXT,How would you rate the overall organization of the event?,Text
TEXT,What aspects of the convention exceeded your expectations?,Text
TEXT,Were there any logistical issues you encountered?,Text
TEXT,How could the convention be made more inclusive?,Text
TEXT,What is your feedback on the venue?,Text
TEXT,Describe your interaction with the convention staff.,Text
TEXT,What were your expectations before attending the convention?,Text
TEXT,How satisfied were you with the networking opportunities?,Text
TEXT,Did you feel the convention was worth the cost?,Text
TEXT,What aspects of the convention could be improved for future participants?,Text
TEXT,How would you rate the overall value of the convention?,Text
TEXT,What is your feedback on the quality of the presentations?,Text
TEXT,How would you describe the atmosphere of the convention?,Text
TEXT,What are your suggestions for improving the communication during the convention?,Text
TEXT,What would you change about the schedule of events?,Text
TEXT,Describe your experience with the technology used during the convention.,Text
TEXT,How could the convention better support participants with diverse needs?,Text
TEXT,What impact did the convention have on your professional development?,Text
TEXT,Share any unexpected positive experiences you had at the convention.,Text
TEXT,What aspects of the convention did you find most engaging?,Text
TEXT,How effectively did the convention meet its stated goals?,Text
TEXT,What specific changes would you recommend for the next convention?,Text
TEXT,Describe any instances of unfairness you observed during the convention.,Text
TEXT,How could the convention better promote a sense of community among participants?,Text
TEXT,What resources or support did you find most helpful?,Text
TEXT,What is your overall impression of the convention's level of professionalism?,Text
TEXT,How would you improve the clarity and accuracy of the convention's information?,Text
TEXT,Describe any areas where the convention fell short of expectations.,Text
TEXT,What aspects of the convention fostered a sense of inclusivity and belonging?,Text
TEXT,How effectively did the convention balance competing priorities?,Text
TEXT,What were the strengths and weaknesses of the convention's communication strategy?,Text
TEXT,What is your feedback on the overall design and layout of the convention?,Text
