type,question,options,answer,tone,difficulty
SINGLE-SELECT,Do you prefer to communicate in writing or verbally?,Writing; Verbally; Both equally,Verbally,colloquial,short
SINGLE-SELECT,Do you prefer to communicate in writing or verbally?,Writing; Verbally; Both equally,Verbally,explanatory,short
SINGLE-SELECT,Do you prefer to communicate in writing or verbally?,Writing; Verbally; Both equally,Verbally,annoyed,short
SINGLE-SELECT,How clear is our communication?,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear,verbose,short
SINGLE-SELECT,How clear is our communication?,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear,concise,short
SINGLE-SELECT,How clear is our communication?,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear,colloquial,short
SINGLE-SELECT,How clear is our communication?,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear,explanatory,short
SINGLE-SELECT,How clear is our communication?,Very Clear; Clear; Somewhat Clear; Unclear; Very Unclear,Very Clear,annoyed,short
SINGLE-SELECT,How comfortable are you using technology for communication?,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable,verbose,short
SINGLE-SELECT,How comfortable are you using technology for communication?,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable,concise,short
SINGLE-SELECT,How comfortable are you using technology for communication?,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable,colloquial,short
SINGLE-SELECT,How comfortable are you using technology for communication?,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable,explanatory,short
SINGLE-SELECT,How comfortable are you using technology for communication?,Very Comfortable; Comfortable; Somewhat Comfortable; Uncomfortable,Very Comfortable,annoyed,short
SINGLE-SELECT,How did you hear about our company?,Google Search; Social Media; Referral; Trade Show; Other,Google Search,verbose,short
SINGLE-SELECT,How did you hear about our company?,Google Search; Social Media; Referral; Trade Show; Other,Google Search,concise,short
SINGLE-SELECT,How did you hear about our company?,Google Search; Social Media; Referral; Trade Show; Other,Google Search,colloquial,short
SINGLE-SELECT,How did you hear about our company?,Google Search; Social Media; Referral; Trade Show; Other,Google Search,explanatory,short
SINGLE-SELECT,How did you hear about our company?,Google Search; Social Media; Referral; Trade Show; Other,Google Search,annoyed,short
SINGLE-SELECT,How do you handle creative block?,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach,verbose,short
SINGLE-SELECT,How do you handle creative block?,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach,concise,short
SINGLE-SELECT,How do you handle creative block?,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach,colloquial,short
SINGLE-SELECT,How do you handle creative block?,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach,explanatory,short
SINGLE-SELECT,How do you handle creative block?,Take a break; Seek inspiration from others; Experiment with new techniques; Change my environment; Try a different approach,Try a different approach,annoyed,short
SINGLE-SELECT,How do you prefer to receive feedback?,Email; In-person Meeting; Video Call,Email,verbose,short
SINGLE-SELECT,How do you prefer to receive feedback?,Email; In-person Meeting; Video Call,Email,concise,short
SINGLE-SELECT,How do you prefer to receive feedback?,Email; In-person Meeting; Video Call,Email,colloquial,short
SINGLE-SELECT,How do you prefer to receive feedback?,Email; In-person Meeting; Video Call,Email,explanatory,short
SINGLE-SELECT,How do you prefer to receive feedback?,Email; In-person Meeting; Video Call,Email,annoyed,short
SINGLE-SELECT,How do you stay current with design trends?,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs,verbose,short
SINGLE-SELECT,How do you stay current with design trends?,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs,concise,short
SINGLE-SELECT,How do you stay current with design trends?,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs,colloquial,short
SINGLE-SELECT,How do you stay current with design trends?,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs,explanatory,short
SINGLE-SELECT,How do you stay current with design trends?,Design Blogs; Design Magazines; Social Media; Industry Conferences; Design Workshops,Design Blogs,annoyed,short
SINGLE-SELECT,How effective is our team at resolving communication issues?,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective,verbose,short
SINGLE-SELECT,How effective is our team at resolving communication issues?,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective,concise,short
SINGLE-SELECT,How effective is our team at resolving communication issues?,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective,colloquial,short
SINGLE-SELECT,How effective is our team at resolving communication issues?,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective,explanatory,short
SINGLE-SELECT,How effective is our team at resolving communication issues?,Very Effective; Effective; Somewhat Effective; Ineffective,Very Effective,annoyed,short
SINGLE-SELECT,How important is it for you to receive a response to your communications?,Very Important; Important; Somewhat Important; Not Important,Not Important,verbose,short
SINGLE-SELECT,How important is it for you to receive a response to your communications?,Very Important; Important; Somewhat Important; Not Important,Not Important,concise,short
SINGLE-SELECT,How important is it for you to receive a response to your communications?,Very Important; Important; Somewhat Important; Not Important,Not Important,colloquial,short
SINGLE-SELECT,How important is it for you to receive a response to your communications?,Very Important; Important; Somewhat Important; Not Important,Not Important,explanatory,short
SINGLE-SELECT,How important is it for you to receive a response to your communications?,Very Important; Important; Somewhat Important; Not Important,Not Important,annoyed,short
SINGLE-SELECT,How important is it to you that communication is documented?,Very Important; Important; Somewhat Important; Not Important,Not Important,verbose,short
SINGLE-SELECT,How important is it to you that communication is documented?,Very Important; Important; Somewhat Important; Not Important,Not Important,concise,short
SINGLE-SELECT,How important is it to you that communication is documented?,Very Important; Important; Somewhat Important; Not Important,Not Important,colloquial,short
SINGLE-SELECT,How important is it to you that communication is documented?,Very Important; Important; Somewhat Important; Not Important,Not Important,explanatory,short
SINGLE-SELECT,How important is it to you that communication is documented?,Very Important; Important; Somewhat Important; Not Important,Not Important,annoyed,short
SINGLE-SELECT,How important is it to you that communication is transparent?,Very Important; Important; Somewhat Important; Not Important,Very Important,verbose,short
SINGLE-SELECT,How important is it to you that communication is transparent?,Very Important; Important; Somewhat Important; Not Important,Very Important,concise,short
SINGLE-SELECT,How important is it to you that communication is transparent?,Very Important; Important; Somewhat Important; Not Important,Very Important,colloquial,short
SINGLE-SELECT,How important is it to you that communication is transparent?,Very Important; Important; Somewhat Important; Not Important,Very Important,explanatory,short
SINGLE-SELECT,How important is it to you that communication is transparent?,Very Important; Important; Somewhat Important; Not Important,Very Important,annoyed,short
SINGLE-SELECT,How important is timely communication to you?,Very Important; Important; Somewhat Important; Not Important,Not Important,verbose,short
SINGLE-SELECT,How important is timely communication to you?,Very Important; Important; Somewhat Important; Not Important,Not Important,concise,short
SINGLE-SELECT,How important is timely communication to you?,Very Important; Important; Somewhat Important; Not Important,Very Important,colloquial,short
SINGLE-SELECT,How important is timely communication to you?,Very Important; Important; Somewhat Important; Not Important,Not Important,explanatory,short
SINGLE-SELECT,How important is timely communication to you?,Very Important; Important; Somewhat Important; Not Important,Not Important,annoyed,short
SINGLE-SELECT,How many employees does your company have?,1-10; 11-50; 51-100; 101-500; 500+,51100,verbose,short
SINGLE-SELECT,How many employees does your company have?,1-10; 11-50; 51-100; 101-500; 500+,51100,concise,short
SINGLE-SELECT,How many employees does your company have?,1-10; 11-50; 51-100; 101-500; 500+,51100,colloquial,short
SINGLE-SELECT,How many employees does your company have?,1-10; 11-50; 51-100; 101-500; 500+,51100,explanatory,short
SINGLE-SELECT,How many employees does your company have?,1-10; 11-50; 51-100; 101-500; 500+,51100,annoyed,short
SINGLE-SELECT,How many people are typically involved in your team's communications?,1-5; 6-10; 11-20; More than 20,More than 20,verbose,short
SINGLE-SELECT,How many people are typically involved in your team's communications?,1-5; 6-10; 11-20; More than 20,More than 20,concise,short
SINGLE-SELECT,How much time do you typically spend communicating with our team each week?,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours,verbose,short
SINGLE-SELECT,How much time do you typically spend communicating with our team each week?,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours,concise,short
SINGLE-SELECT,How much time do you typically spend communicating with our team each week?,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours,colloquial,short
SINGLE-SELECT,How much time do you typically spend communicating with our team each week?,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours,explanatory,short
SINGLE-SELECT,How much time do you typically spend communicating with our team each week?,Less than 1 hour; 1-3 hours; 3-5 hours; More than 5 hours,More than 5 hours,annoyed,short
SINGLE-SELECT,How often do you feel your communication is misunderstood?,Very Often; Often; Sometimes; Rarely; Never,Often,verbose,short
SINGLE-SELECT,How often do you feel your communication is misunderstood?,Very Often; Often; Sometimes; Rarely; Never,Often,concise,short
SINGLE-SELECT,How often do you feel your communication is misunderstood?,Very Often; Often; Sometimes; Rarely; Never,Often,colloquial,short
SINGLE-SELECT,How often do you feel your communication is misunderstood?,Very Often; Often; Sometimes; Rarely; Never,Often,explanatory,short
SINGLE-SELECT,How often do you feel your communication is misunderstood?,Very Often; Often; Sometimes; Rarely; Never,Often,annoyed,short
SINGLE-SELECT,How often do you need updates?,Daily; Weekly; Monthly; As needed,Daily,verbose,short
SINGLE-SELECT,How often do you need updates?,Daily; Weekly; Monthly; As needed,Daily,concise,short
SINGLE-SELECT,How often do you need updates?,Daily; Weekly; Monthly; As needed,Daily,colloquial,short
SINGLE-SELECT,How often do you need updates?,Daily; Weekly; Monthly; As needed,Daily,explanatory,short
SINGLE-SELECT,How often do you need updates?,Daily; Weekly; Monthly; As needed,Daily,annoyed,short
SINGLE-SELECT,How often do you prefer to receive project updates?,Daily; Weekly; Bi-weekly; Monthly,Daily,verbose,short
SINGLE-SELECT,How often do you prefer to receive project updates?,Daily; Weekly; Bi-weekly; Monthly,Daily,concise,short
SINGLE-SELECT,How often do you prefer to receive project updates?,Daily; Weekly; Bi-weekly; Monthly,Daily,colloquial,short
SINGLE-SELECT,How often do you prefer to receive project updates?,Daily; Weekly; Bi-weekly; Monthly,Daily,explanatory,short
SINGLE-SELECT,How often do you prefer to receive project updates?,Daily; Weekly; Bi-weekly; Monthly,Daily,annoyed,short
SINGLE-SELECT,How responsive is our team to your communication?,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive,verbose,short
SINGLE-SELECT,How responsive is our team to your communication?,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive,concise,short
SINGLE-SELECT,How responsive is our team to your communication?,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive,colloquial,short
SINGLE-SELECT,How responsive is our team to your communication?,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive,explanatory,short
SINGLE-SELECT,How responsive is our team to your communication?,Very Responsive; Responsive; Somewhat Responsive; Unresponsive; Very Unresponsive,Very Responsive,annoyed,short
SINGLE-SELECT,How satisfied are you with our communication?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,verbose,short
SINGLE-SELECT,How satisfied are you with our communication?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,concise,short
SINGLE-SELECT,How satisfied are you with our communication?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,colloquial,short
SINGLE-SELECT,How satisfied are you with our communication?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,explanatory,short
SINGLE-SELECT,How satisfied are you with our communication?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Dissatisfied,annoyed,short
SINGLE-SELECT,How satisfied are you with our current service?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,verbose,short
SINGLE-SELECT,How satisfied are you with our current service?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,concise,short
SINGLE-SELECT,How satisfied are you with our current service?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,colloquial,short
SINGLE-SELECT,How satisfied are you with our current service?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Satisfied,explanatory,short
SINGLE-SELECT,How satisfied are you with our current service?,Very Satisfied; Satisfied; Neutral; Dissatisfied; Very Dissatisfied,Very Dissatisfied,annoyed,short
SINGLE-SELECT,How would you describe the tone of our communication?,Professional; Friendly; Informal; Formal,Friendly,verbose,short
SINGLE-SELECT,How would you describe the tone of our communication?,Professional; Friendly; Informal; Formal,Friendly,concise,short
SINGLE-SELECT,How would you describe the tone of our communication?,Professional; Friendly; Informal; Formal,Friendly,colloquial,short
SINGLE-SELECT,How would you describe the tone of our communication?,Professional; Friendly; Informal; Formal,Friendly,explanatory,short
SINGLE-SELECT,How would you describe the tone of our communication?,Professional; Friendly; Informal; Formal,Informal,annoyed,short
SINGLE-SELECT,How would you rate the overall effectiveness of our communication?,Excellent; Good; Fair; Poor,Good,verbose,short
SINGLE-SELECT,How would you rate the overall effectiveness of our communication?,Excellent; Good; Fair; Poor,Good,concise,short
SINGLE-SELECT,How would you rate the overall effectiveness of our communication?,Excellent; Good; Fair; Poor,Good,colloquial,short
SINGLE-SELECT,How would you rate the overall effectiveness of our communication?,Excellent; Good; Fair; Poor,Good,explanatory,short
SINGLE-SELECT,How would you rate the overall effectiveness of our communication?,Excellent; Good; Fair; Poor,Good,annoyed,short
SINGLE-SELECT,How would you rate your experience with our customer support?,Excellent; Good; Fair; Poor,Good,verbose,short
SINGLE-SELECT,How would you rate your experience with our customer support?,Excellent; Good; Fair; Poor,Good,concise,short
SINGLE-SELECT,How would you rate your experience with our customer support?,Excellent; Good; Fair; Poor,Good,colloquial,short
SINGLE-SELECT,How would you rate your experience with our customer support?,Excellent; Good; Fair; Poor,Good,explanatory,short
SINGLE-SELECT,How would you rate your experience with our customer support?,Excellent; Good; Fair; Poor,Poor,annoyed,short
SINGLE-SELECT,Is there anything we can improve in our communication?,Yes; No,Yes,verbose,short
SINGLE-SELECT,Is there anything we can improve in our communication?,Yes; No,Yes,concise,short
SINGLE-SELECT,Is there anything we can improve in our communication?,Yes; No,Yes,colloquial,short
SINGLE-SELECT,Is there anything we can improve in our communication?,Yes; No,Yes,explanatory,short
SINGLE-SELECT,Is there anything we can improve in our communication?,Yes; No,Yes,annoyed,short
SINGLE-SELECT,Level of communication detail,High; Medium; Low,High,verbose,short
SINGLE-SELECT,Level of communication detail,High; Medium; Low,High,concise,short
SINGLE-SELECT,Level of communication detail,High; Medium; Low,High,colloquial,short
SINGLE-SELECT,Level of communication detail,High; Medium; Low,High,explanatory,short
SINGLE-SELECT,Level of communication detail,High; Medium; Low,High,annoyed,short
SINGLE-SELECT,Preferred communication method,Email; Phone; Video Call; In-person Meeting,Email,verbose,short
SINGLE-SELECT,Preferred communication method,Email; Phone; Video Call; In-person Meeting,Email,concise,short
SINGLE-SELECT,Preferred communication method,Email; Phone; Video Call; In-person Meeting,Email,colloquial,short
SINGLE-SELECT,Preferred communication method,Email; Phone; Video Call; In-person Meeting,Email,explanatory,short
SINGLE-SELECT,Preferred communication method,Email; Phone; Video Call; In-person Meeting,Email,annoyed,short
SINGLE-SELECT,Preferred time for communication,Morning; Afternoon; Evening,Evening,verbose,short
SINGLE-SELECT,Preferred time for communication,Morning; Afternoon; Evening,Evening,concise,short
SINGLE-SELECT,Preferred time for communication,Morning; Afternoon; Evening,Evening,colloquial,short
SINGLE-SELECT,Preferred time for communication,Morning; Afternoon; Evening,Evening,explanatory,short
SINGLE-SELECT,Preferred time for communication,Morning; Afternoon; Evening,Evening,annoyed,short
SINGLE-SELECT,Primary language for communication,English; Spanish; French; German; Mandarin,English,verbose,short
SINGLE-SELECT,Primary language for communication,English; Spanish; French; German; Mandarin,English,concise,short
SINGLE-SELECT,Primary language for communication,English; Spanish; French; German; Mandarin,English,colloquial,short
SINGLE-SELECT,Primary language for communication,English; Spanish; French; German; Mandarin,English is the primary language for communication,explanatory,short
SINGLE-SELECT,Primary language for communication,English; Spanish; French; German; Mandarin,English is the primary language for communication,annoyed,short
SINGLE-SELECT,What are your career goals in the art and design industry?,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist,verbose,short
SINGLE-SELECT,What are your career goals in the art and design industry?,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist,concise,short
SINGLE-SELECT,What are your career goals in the art and design industry?,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist,colloquial,short
SINGLE-SELECT,What are your career goals in the art and design industry?,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist,explanatory,short
SINGLE-SELECT,What are your career goals in the art and design industry?,Freelance Artist; In-house Designer; Art Director; Creative Director; Start my own Design Agency,Freelance Artist,annoyed,short
SINGLE-SELECT,What are your preferred methods for gathering user feedback?,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews,verbose,short
SINGLE-SELECT,What are your preferred methods for gathering user feedback?,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews,concise,short
SINGLE-SELECT,What are your preferred methods for gathering user feedback?,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews,colloquial,short
SINGLE-SELECT,What are your preferred methods for gathering user feedback?,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews,explanatory,short
SINGLE-SELECT,What are your preferred methods for gathering user feedback?,User Interviews; Surveys; Usability Testing; A/B Testing; Heatmaps,User Interviews,annoyed,short
SINGLE-SELECT,What are your primary business goals?,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue,verbose,short
SINGLE-SELECT,What are your primary business goals?,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue,concise,short
SINGLE-SELECT,What are your primary business goals?,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue,colloquial,short
SINGLE-SELECT,What are your primary business goals?,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue,explanatory,short
SINGLE-SELECT,What are your primary business goals?,Increase Revenue; Reduce Costs; Improve Efficiency; Expand Market Share,Increase Revenue,annoyed,short
SINGLE-SELECT,What are your top three priorities for this year?,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth,verbose,short
SINGLE-SELECT,What are your top three priorities for this year?,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth,concise,short
SINGLE-SELECT,What are your top three priorities for this year?,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth,colloquial,short
SINGLE-SELECT,What are your top three priorities for this year?,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth,explanatory,short
SINGLE-SELECT,What are your top three priorities for this year?,Revenue Growth; Cost Reduction; Customer Acquisition; Product Development,Revenue Growth,annoyed,short
SINGLE-SELECT,What aspect of design are you most passionate about?,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication,verbose,short
SINGLE-SELECT,What aspect of design are you most passionate about?,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication,concise,short
SINGLE-SELECT,What aspect of design are you most passionate about?,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication,colloquial,short
SINGLE-SELECT,What aspect of design are you most passionate about?,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication,explanatory,short
SINGLE-SELECT,What aspect of design are you most passionate about?,Visual Communication; User Experience; Branding; Interaction Design; Motion Graphics,Visual Communication,annoyed,short
SINGLE-SELECT,What cloud platform do you use?,AWS; Azure; Google Cloud,I use Google Cloud,verbose,short
SINGLE-SELECT,What cloud platform do you use?,AWS; Azure; Google Cloud,I use Google Cloud,concise,short
SINGLE-SELECT,What cloud platform do you use?,AWS; Azure; Google Cloud,I use Google Cloud,colloquial,short
SINGLE-SELECT,What cloud platform do you use?,AWS; Azure; Google Cloud,I use Google Cloud,explanatory,short
SINGLE-SELECT,What cloud platform do you use?,AWS; Azure; Google Cloud,I use Google Cloud,annoyed,short
SINGLE-SELECT,What communication channels do you use most often?,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email,verbose,short
SINGLE-SELECT,What communication channels do you use most often?,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email,concise,short
SINGLE-SELECT,What communication channels do you use most often?,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email,colloquial,short
SINGLE-SELECT,What communication channels do you use most often?,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email,explanatory,short
SINGLE-SELECT,What communication channels do you use most often?,Email; Instant Messaging; Project Management Software; Phone calls; Video Conferencing,Email,annoyed,short
SINGLE-SELECT,What database system are you familiar with?,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL,verbose,short
SINGLE-SELECT,What database system are you familiar with?,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL,concise,short
SINGLE-SELECT,What database system are you familiar with?,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL,colloquial,short
SINGLE-SELECT,What database system are you familiar with?,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL,explanatory,short
SINGLE-SELECT,What database system are you familiar with?,MySQL; PostgreSQL; MongoDB; Oracle; SQL Server,MySQL,annoyed,short
SINGLE-SELECT,What geographic region are you located in?,North America; Europe; Asia; South America; Africa; Australia,North America,verbose,short
SINGLE-SELECT,What geographic region are you located in?,North America; Europe; Asia; South America; Africa; Australia,North America,concise,short
SINGLE-SELECT,What geographic region are you located in?,North America; Europe; Asia; South America; Africa; Australia,North America,colloquial,short
SINGLE-SELECT,What geographic region are you located in?,North America; Europe; Asia; South America; Africa; Australia,North America,explanatory,short
SINGLE-SELECT,What geographic region are you located in?,North America; Europe; Asia; South America; Africa; Australia,North America,annoyed,short
SINGLE-SELECT,What inspires your artistic creations?,Nature; People; Abstract Concepts; Dreams; Current Events,Nature,verbose,short
SINGLE-SELECT,What inspires your artistic creations?,Nature; People; Abstract Concepts; Dreams; Current Events,Nature,concise,short
SINGLE-SELECT,What inspires your artistic creations?,Nature; People; Abstract Concepts; Dreams; Current Events,Nature,colloquial,short
SINGLE-SELECT,What inspires your artistic creations?,Nature; People; Abstract Concepts; Dreams; Current Events,Nature,explanatory,short
SINGLE-SELECT,What inspires your artistic creations?,Nature; People; Abstract Concepts; Dreams; Current Events,Nature,annoyed,short
SINGLE-SELECT,What is the purpose of your communication?,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing,verbose,short
SINGLE-SELECT,What is the purpose of your communication?,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing,concise,short
SINGLE-SELECT,What is the purpose of your communication?,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing,colloquial,short
SINGLE-SELECT,What is the purpose of your communication?,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing,explanatory,short
SINGLE-SELECT,What is the purpose of your communication?,Feedback; Inquiry; Complaint; Collaboration; Information Sharing,Information Sharing,annoyed,short
SINGLE-SELECT,What is your age range?,18-24; 25-34; 35-44; 45-54; 55+,3544,verbose,short
SINGLE-SELECT,What is your age range?,18-24; 25-34; 35-44; 45-54; 55+,3544,concise,short
SINGLE-SELECT,What is your age range?,18-24; 25-34; 35-44; 45-54; 55+,I am 55,colloquial,short
SINGLE-SELECT,What is your age range?,18-24; 25-34; 35-44; 45-54; 55+,3544,explanatory,short
SINGLE-SELECT,What is your age range?,18-24; 25-34; 35-44; 45-54; 55+,3544,annoyed,short
