Context,Generated Q&A
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 10 December, 2023"
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 15 June, 2023 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Email', ' Instant Messaging', ' Project Management Software', ' Phone calls', ' Video Conferencing'] SINGLE-SELECT concise",Question: What are your preferred methods of communication? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 24 December, 2020"
generate question: ['production cost'] NUMBER colloquial,Question: What is your production cost? Provide a number. Answer: This is a valid and contextually appropriate response.
"generate question: ['Data entry errors', ' Data inconsistencies', ' Lack of data standardization', ' Difficulty accessing accurate data', ' Outdated data'] MULTI-SELECT concise",Question: What causes data entry errors? Answer: This is a valid and contextually appropriate response.
"generate question: ['Problem-solving', ' Communication', ' Teamwork', ' Time management', ' Adaptability', ' Technical skills'] MULTI-SELECT concise","Question: What are your main strengths? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Email', ' Phone calls', ' Video conferencing', ' Instant messaging', ' In-person meetings'] MULTI-SELECT colloquial",Question: What are your preferred methods of communication? Answer: This is a valid and contextually appropriate response.
"generate question: ['CrowdStrike', ' Palo Alto Networks', ' Fortinet', ' Check Point', ' Symantec'] MULTI-SELECT explanatory",Question: What platforms are you most familiar with? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 02 June, 2022"
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 24 December, 2024 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['experience years'] NUMBER verbose,Question: How many years of experience do you have? Provide a number. Answer: This is a valid and contextually appropriate response.
"generate question: ['Constructive Criticism', ' Positive Reinforcement', ' Peer Reviews', ' Client Feedback', ' Public Opinion'] SINGLE-SELECT explanatory",Question: What types of feedback do you receive from clients? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 29 August, 2024"
generate question: ['Date'] DATE colloquial,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 17 December, 2024 (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Price', ' Features', ' Reputation', ' Customer support', ' Implementation process'] MULTI-SELECT annoyed",Question: What are your company's key strengths? Answer: This is a valid and contextually appropriate response.
"generate question: ['Classroom training', ' Online training', ' On-the-job training', ' Mentorship programs', ' External training courses'] MULTI-SELECT colloquial","Question: What types of training do you prefer? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 28 March, 2023"
generate question: ['contact preference'] NUMBER concise,Question: What is your contact preference? Provide a contact number. Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT verbose,"Question: What are your thoughts on this topic? Provide a brief description. Answer: It's a topic of great interest to me. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT concise",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 02 October, 2024"
generate question: ['Text'] TEXT verbose,"Question: What are your thoughts on this topic? Provide a brief description. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 25 July, 2021"
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 18 December, 2020 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT concise,"Question: What are your thoughts on this topic? Provide a brief answer. Answer: It's a topic of great interest to me. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: It's a topic of great interest to me. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 27 May, 2023 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE colloquial,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 28 April, 2025 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This is a challenging topic. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['year'] NUMBER verbose,Question: What is the year of your birth? Provide a year of birth? Provide a year of birth? Provide a year of birth? Provide a year of birth? Provide a year of birth? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Provide a year? Answer: This is a valid and contextually appropriate response.
"generate question: ['Superior product quality', ' Lower prices', ' Excellent customer service', ' Strong brand reputation', ' Innovative technology'] MULTI-SELECT concise",Question: What are your company's key strengths? Answer: This is a valid and contextually appropriate response.
"generate question: ['Tableau', ' Power BI', ' Qlik Sense', ' Splunk', ' Google Data Studio'] MULTI-SELECT annoyed",Question: What tools are you most familiar with? Answer: This is a valid and contextually appropriate response.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT explanatory",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
"generate question: ['Sales dashboards', ' Sales reports', ' Sales meetings', ' One-on-one coaching', ' Team performance reviews'] MULTI-SELECT explanatory",Question: What are your favorite sales tools? Answer: This is a valid and contextually appropriate response.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT verbose",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
"generate question: ['GPL', ' MIT', ' Apache 2.0', ' BSD', ' Proprietary'] MULTI-SELECT verbose",Question: What is your preferred version of Apache 2.0? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 27 September, 2020 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT verbose,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This is a challenging topic. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE colloquial,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 19 March, 2024 (Original Time Expression: 'in', Precise Date: 205-02-02)"
