Context,Generated Q&A
"generate question: ['Steel production', ' Oil refining', ' Cement manufacturing', ' Mining', ' Chemical processing'] MULTI-SELECT explanatory",Question: What industries do you work in? Answer: I work in a variety of industries.
generate question: ['work hours'] NUMBER verbose,Question: How many hours of work do you do? Answer: I do not know.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['number of pets'] NUMBER colloquial,Question: What is the number of pets in your household? Answer: The number of pets in your household is the number of pets in your household. The number of pets in your household is the number of pets in your household. The number of pets is the number of pets in your household.
"generate question: ['Patents', ' Trademarks', ' Copyrights', ' Trade secrets', ' Non-disclosure agreements'] MULTI-SELECT verbose","Question: What types of trade secrets do you use? Answer: I use a combination of Trademarks, Copyrights and Non-disclosure agreements to protect my intellectual property. I use a combination of Trademarks and Copyrights to protect my intellectual property. I use a combination of Trademarks and Copyrights to protect my intellectual property. I use a combination of Trademarks and Copyrights to protect my intellectual property."
"generate question: ['Water recycling', ' Water-efficient equipment', ' Process optimization', ' Leak detection and repair', ' Water management systems'] MULTI-SELECT verbose",Question: What are your company's water management systems? Answer: Water management systems.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['1-5', ' 6-10', ' 11-20', ' More than 20'] SINGLE-SELECT explanatory",Question: How many questions do you have? Answer: I have a lot of questions.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Web development', ' Mobile app development', ' Data science', ' Machine learning', ' Artificial intelligence', ' Game development', ' Software engineering'] MULTI-SELECT concise",Question: What is your favorite field of expertise? Answer: Machine learning is my favorite field of expertise. It's my favorite field of expertise.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Profit Maximization', ' Social Impact', ' Environmental Sustainability', ' Customer Satisfaction'] SINGLE-SELECT explanatory",Question: What are your company's goals for the future? Answer: We're focused on maximizing our profits. We're focused on reducing our environmental impact. We're focused on reducing our carbon footprint.
"generate question: ['Conducting thorough due diligence', ' Developing risk mitigation strategies', ' Testing new technologies thoroughly', ' Training employees on new technologies', ' Monitoring the performance of new technologies'] MULTI-SELECT colloquial",Question: What are your company's goals for the future? Answer: We're committed to developing risk mitigation strategies. We're also committed to training our employees on new technologies.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Email', ' Phone', ' Social media', ' Live chat', ' In-person meetings'] MULTI-SELECT colloquial","Question: What are your preferred methods of communication? Answer: Social media, email, live chat, etc."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Price', ' Features', ' Customer Support', ' Ease of Use'] SINGLE-SELECT concise",Question: What are your company's features? Answer: We're looking for a solution. We're looking for a solution. We're looking for a solution.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['experience years'] NUMBER explanatory,Generate a question and answer: How many years of experience have you had? Provide a number.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Facebook', ' Instagram', ' Twitter', ' LinkedIn', ' TikTok', ' YouTube'] MULTI-SELECT annoyed","Question: What social media platforms are you most familiar with? Answer: Twitter, LinkedIn, TikTok."
generate question: ['certification count'] NUMBER annoyed,Question: What is your certification count? Provide a number. Answer: It's a lot more than just a number.
"generate question: ['Water recycling', ' Water-efficient equipment', ' Process optimization', ' Leak detection and repair', ' Water management systems'] MULTI-SELECT concise",Question: What are your company's water management systems? Answer: Water management systems.
"generate question: ['Technical skills training', ' Leadership training', ' Management training', ' Communication skills training', ' Sales training'] MULTI-SELECT colloquial","Question: What types of training did you receive? Answer: Technical skills training, leadership training, and sales training."
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['support contact frequency'] NUMBER explanatory,Question: What is your support contact frequency? Provide a number. Answer: The support contact frequency is the number of times the support contact frequency is reached. This is the number of times the support contact frequency is reached.
"generate question: ['Formal', ' Informal', ' Hybrid'] SINGLE-SELECT colloquial",Question: What is your preferred method of communication? Answer: Informal.
generate question: ['zip code'] NUMBER colloquial,Question: What is your zip code? Provide a zip code. Answer: It's a zip code.
"generate question: ['Very Important', ' Important', ' Somewhat Important', ' Not Important'] SINGLE-SELECT explanatory",Question: What is your opinion on the subject? Answer: I think it's important to have a clear understanding of the subject. It's important to have a clear understanding of the subject.
generate question: ['languages spoken'] NUMBER annoyed,Question: How many languages are spoken? Answer: There are a lot of languages spoken.
"generate question: ['Air pollution', ' Water pollution', ' Waste management', ' Greenhouse gas emissions', ' Noise pollution'] MULTI-SELECT colloquial","Question: What are your main concerns with air pollution? Answer: Air pollution, water pollution, noise pollution."
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Daily', ' Weekly', ' Bi-weekly', ' Monthly'] SINGLE-SELECT verbose",Question: How often do you check your email? Answer: I check my email twice a week.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
"generate question: ['Full Authority', ' Partial Authority', ' No Authority'] SINGLE-SELECT annoyed",Question: What authority do you have? Answer: I have a partial authority. I have a partial authority.
generate question: ['budget allocation'] NUMBER annoyed,Question: What is your budget allocation? Provide a number. Answer: It's a lot.
"generate question: ['1-5', ' 6-10', ' 11-20', ' 21-50', ' More than 50'] SINGLE-SELECT explanatory",Question and answer: What are your preferred methods for answering this question? Provide a list of your preferred methods for answering this question. Answer: My preferred method for answering this question is to use a combination of different methods. I prefer to use a combination of methods for answering this question.
generate question: ['energy'] NUMBER explanatory,Question: What is your energy consumption? Provide a number. Answer: It's a lot of energy.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Google Search', ' Social Media', ' Referral', ' Trade Show', ' Other'] SINGLE-SELECT annoyed","Question: What are your favorite ways to promote your business? Answer: Google Search, Social Media, etc."
generate question: ['website visits'] NUMBER annoyed,Question: What is the number of visitors to your website? Provide a number. Answer: The number of visitors to your website is increasing exponentially.
generate question: ['zip code'] NUMBER concise,Question: What is the zip code of your home? Provide a zip code. Answer: It's the zip code of your home.
generate question: ['vacation days'] NUMBER annoyed,Question: How many days have you been away from home? Answer: I've been away for a few weeks now.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Daily', ' Weekly', ' Bi-weekly', ' Monthly'] SINGLE-SELECT explanatory","Question: How often do you check your email? Answer: I check my email twice a week, twice a week, twice a month."
"generate question: ['Unique product features', ' Strong brand reputation', ' Excellent customer service', ' Competitive pricing', ' Strategic partnerships'] MULTI-SELECT concise","Question: What are your company's key strengths? Answer: Strong brand reputation, competitive pricing, and strategic partnerships."
generate question: ['production output'] NUMBER concise,Question: What is your production output? Provide a number. Answer: It's a lot.
"generate question: ['Feedback', ' Inquiry', ' Complaint', ' Collaboration', ' Information Sharing'] SINGLE-SELECT concise",Question: What are your main areas of concern? Answer: I'm looking for a solution. I'm looking for a solution.
"generate question: ['Daily', ' Weekly', ' Bi-weekly', ' Monthly'] SINGLE-SELECT explanatory","Question: How often do you check your email? Answer: I check my email twice a week, twice a week, twice a month."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Increase customer retention', ' Improve customer loyalty', ' Generate positive word-of-mouth referrals', ' Reduce customer churn', ' Enhance brand reputation'] MULTI-SELECT explanatory",Question: What are your company's goals for retaining customers? Answer: Increase customer loyalty.
"generate question: ['Customer surveys', ' Customer interviews', ' Focus groups', ' Online reviews', ' Social media monitoring'] MULTI-SELECT explanatory","Question: What methods do you use to conduct customer interviews? Answer: Focus groups, online reviews, social media monitoring."
generate question: ['employee count'] NUMBER verbose,Question: What is your employee count? Provide a number. Answer: It's a lot.
"generate question: ['Brainstorming', ' Mind Mapping', ' Mood Boarding', ' Sketching', ' Research'] SINGLE-SELECT annoyed","Question: What are your favorite activities for brainstorming? Answer: Brainstorming, Mind Mapping, Research."
"generate question: ['Very Important', ' Important', ' Somewhat Important', ' Not Important'] SINGLE-SELECT explanatory",Question: What is your opinion on the subject? Answer: I think it's important to have a clear understanding of the subject. It's important to have a clear understanding of the subject.
generate question: ['monthly spending'] NUMBER colloquial,"Question: What is your monthly spending? Provide a number. Answer: It's a lot of money, right?"
"generate question: ['Revenue', ' Conversion rate', ' Customer lifetime value (CLTV)', ' Customer acquisition cost (CAC)', ' Average deal size'] MULTI-SELECT verbose",Question: What is your conversion rate? Answer: The conversion rate is based on customer lifetime value (CLTV) and customer acquisition cost (CAC). The average deal size is based on customer acquisition cost (CAC).
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Increase revenue by 10%', ' Expand into new markets', ' Improve customer retention', ' Launch a new product or service', ' Reduce operational costs'] MULTI-SELECT colloquial",Question: What are your company's goals for the coming year? Answer: We're looking for a new product or service. We're looking for a new product or service.
"generate question: ['Agile', ' Waterfall', ' Lean', ' Iterative', ' Hybrid'] SINGLE-SELECT explanatory","Question: What are your preferred methodologies for implementing agile processes? Answer: Lean, Agile and Hybrid."
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Human-centered Design', ' Design Thinking', ' Lean UX', ' Double Diamond', ' Agile Design'] SINGLE-SELECT colloquial",Question: What are your favorite design practices? Answer: I'm a big fan of Lean UX.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['sibling count'] NUMBER annoyed,Question and answer: What is your sibling count? Provide a number. Answer: My sibling count is a bit low.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Providing safety training to employees', ' Implementing safety procedures', ' Conducting safety audits', ' Investigating accidents and incidents', ' Promoting a culture of safety awareness'] MULTI-SELECT concise",Question: What safety procedures are in place? Answer: Implementing safety procedures. Conducting safety audits. Conducting safety audits.
"generate question: ['Improved PPE', ' Enhanced safety training', ' Regular safety audits', ' Improved safety procedures', ' Incentivize safe behavior'] MULTI-SELECT annoyed",Question: What are your company's safety procedures? Answer: I've implemented regular safety audits. Regular safety audits are a must.
"generate question: ['Serif', ' Sans-serif', ' Script', ' Display', ' Monospace'] SINGLE-SELECT concise",Question: What are your preferred fonts? Answer: I prefer Sans-serif and Monospace.
"generate question: ['Developing business continuity plans', ' Testing business continuity plans', ' Training employees on business continuity procedures', ' Maintaining adequate resources', ' Monitoring potential disruptions'] MULTI-SELECT concise","Question: What are your company's business continuity procedures? Answer: I've developed business continuity plans, training employees on business continuity procedures, monitoring potential disruptions, and monitoring potential disruptions."
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Visual Communication', ' User Experience', ' Branding', ' Interaction Design', ' Motion Graphics'] SINGLE-SELECT verbose","Question: What are your main areas of expertise? Answer: Visual Communication, Branding, Motion Graphics."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['ROI'] NUMBER concise,Generate a question and answer.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['invoice number'] NUMBER verbose,Question: What is your invoice number? Provide a name. Answer: I'm not sure what the invoice number is.
"generate question: ['Very Important', ' Important', ' Somewhat Important', ' Not Important'] SINGLE-SELECT colloquial","Question: What is your opinion on the topic? Answer: I think it's a bit of a stretch, but it's important."
"generate question: ['Branding Projects', ' Website Designs', ' Mobile App Designs', ' Illustration Projects', ' Graphic Design Projects'] SINGLE-SELECT explanatory",Question: What are your favorite graphic design projects? Answer: Graphic design projects.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
"generate question: ['Archer', ' ServiceNow', ' MetricStream', ' Riskonnect', ' LogicManager'] MULTI-SELECT colloquial","Question: What services do you use? Answer: MetricStream, Riskonnect, LogicManager."
generate question: ['conversion rate'] NUMBER annoyed,Question: What is your conversion rate? Provide a number. Answer: The conversion rate is very low.
generate question: ['zip code'] NUMBER colloquial,Question: What is your zip code? Provide a zip code. Answer: It's a zip code.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
"generate question: ['Slack', ' Microsoft Teams', ' Email', ' Jira'] SINGLE-SELECT annoyed",Question: What is your preferred method of communication? Answer: My preferred method of communication is Slack.
"generate question: ['Health insurance', ' Retirement plan', ' Paid time off', ' Tuition reimbursement', ' Child care assistance'] MULTI-SELECT concise",Question: What benefits do you take for paid time off? Answer: I take paid time off for paid time off. I take paid time off for paid time off for paid time off.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Git', ' SVN', ' Mercurial'] MULTI-SELECT annoyed",Question: What tools do you use to manage your data? Answer: I use a variety of tools to manage my data. I use a variety of tools to manage my data.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Environmental Protection Agency (EPA)', ' Occupational Safety and Health Administration (OSHA)', ' Department of Transportation (DOT)', ' Local environmental agencies', ' Industry-specific regulatory bodies'] MULTI-SELECT concise","Question: What are your industry-specific regulatory bodies? Answer: EPA, Department of Transportation (DOT) and local environmental agencies."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
"generate question: ['Implementing strong data privacy policies', ' Investing in data privacy technology', ' Providing data privacy training to employees', ' Conducting regular data privacy audits', ' Developing incident response plans'] MULTI-SELECT annoyed",Question: What are your company's policies on data privacy? Answer: We're committed to implementing strong data privacy policies. We're also committed to conducting regular data privacy audits.
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Credit Card', ' Bank Transfer', ' PayPal'] SINGLE-SELECT verbose",Question: What is your preferred method of payment? Answer: PayPal is the preferred method of payment.
"generate question: ['Company size', ' Industry', ' Budget', ' Need', ' Authority'] MULTI-SELECT concise",Question: What is your company's size? Answer: It's a big company.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['Email marketing', ' Content marketing', ' Social media engagement', ' Personalized email sequences', ' Webinars and online events'] MULTI-SELECT colloquial","Question: What are your favorite marketing techniques? Answer: Content marketing, Webinars and online events."
"generate question: ['UML diagrams', ' Flowcharts', ' Entity-relationship diagrams', ' Data flow diagrams', ' State diagrams'] MULTI-SELECT explanatory","Question: What types of diagrams do you use? Answer: Flowcharts, Entity-relationship diagrams, State diagrams."
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['AWS', ' Azure', ' Google Cloud'] SINGLE-SELECT concise",Question: What cloud services do you use? Answer: Google Cloud.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
"generate question: ['Reading industry blogs', ' Attending conferences and workshops', ' Taking online courses', ' Participating in open-source projects', ' Networking with other developers'] MULTI-SELECT concise","Question: What are your favorite ways to spend your free time? Answer: I enjoy reading industry blogs, taking online courses, and networking with other developers."
"generate question: ['Digital marketing', ' Social media marketing', ' Email marketing', ' Content marketing', ' Traditional marketing'] MULTI-SELECT annoyed","Question: What types of marketing strategies do you use? Answer: Digital marketing, email marketing, content marketing."
"generate question: ['Small Businesses', ' Large Corporations', ' Non-profits', ' Individuals', ' Government Agencies'] SINGLE-SELECT verbose","Question: What types of businesses do you represent? Answer: Small businesses, non-profits, government agencies."
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
"generate question: ['Inbound marketing', ' Outbound marketing', ' Content marketing', ' Social media marketing', ' Paid advertising'] MULTI-SELECT concise","Question: What types of marketing strategies do you use? Answer: Content marketing, Paid advertising."
"generate question: ['Figma', ' Adobe XD', ' Sketch', ' InVision', ' Adobe Photoshop', ' Adobe Illustrator'] MULTI-SELECT verbose",Question: What software are you most familiar with? Answer: I'm familiar with Figma. I'm familiar with InVision.
"generate question: ['Paintings', ' Sculptures', ' Prints', ' Photographs', ' Digital Art'] SINGLE-SELECT concise","Question: What are your favorite digital art mediums? Answer: Prints, Prints, Digital Art."
"generate question: ['Programmable Logic Controllers (PLCs)', ' Supervisory Control and Data Acquisition (SCADA)', ' Distributed Control Systems (DCS)', ' Human-Machine Interfaces (HMIs)', ' Industrial Ethernet'] MULTI-SELECT colloquial",Question: What types of controllers are you most familiar with? Answer: I'm familiar with Logic Controllers (PLCs) and Distributed Control Systems (DCS)
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['languages spoken'] NUMBER concise,Question: How many languages are spoken? Answer: There are many languages spoken in the world.
generate question: ['contact preference'] NUMBER annoyed,Question: What is your preferred contact number? Provide a name. Answer: My preferred contact number is 123.
"generate question: ['Customer surveys', ' Customer interviews', ' Focus groups', ' Online reviews', ' Social media monitoring'] MULTI-SELECT concise","Question: What are your preferred methods for conducting customer interviews? Answer: Focus groups, online reviews, social media monitoring."
"generate question: ['Docker', ' Kubernetes', ' Jenkins', ' Travis CI', ' CircleCI'] MULTI-SELECT annoyed",Question: What is your favorite tool for testing Kubernetes? Answer: It's a great tool for testing Kubernetes.
"generate question: ['Very Important', ' Important', ' Somewhat Important', ' Not Important'] SINGLE-SELECT concise",Question: What is your opinion on the topic? Answer: It's very important.
"generate question: ['CEO', ' CFO', ' Marketing Manager', ' Sales Representative', ' Other'] SINGLE-SELECT concise","Question: What roles are you responsible for? Answer: I'm the CFO, not the CFO. I'm also the Sales Representative."
"generate question: ['The Metropolitan Museum of Art', ' The Louvre', ' The Museum of Modern Art', ' The Tate Modern', ' The National Gallery'] SINGLE-SELECT annoyed","Question: What museums are you familiar with? Answer: The Metropolitan Museum of Art, The Tate Modern, The National Gallery."
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Less than 1 hour', ' 1-3 hours', ' 3-5 hours', ' More than 5 hours'] SINGLE-SELECT colloquial",Question and answer: How long did it take you to complete the project? Answer: It took me less than 1 hour to complete the project.
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
"generate question: ['CRM (Salesforce, HubSpot, etc.)', ' Marketing automation (Marketo, Pardot, etc.)', ' Social media management tools', ' Email marketing platforms', ' Analytics platforms (Google Analytics, etc.)'] MULTI-SELECT annoyed","Question: What are your favorite marketing automation tools? Answer: Marketing automation (Marketo, Pardot, etc.) is a must."
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['shirt size'] NUMBER explanatory,Question: What is your shirt size? Provide a number. Answer: My shirt size is XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['User Interviews', ' Surveys', ' Usability Testing', ' A/B Testing', ' Heatmaps'] SINGLE-SELECT annoyed","Question: What are your preferred methods for testing user experience? Answer: We use Surveys, A/B Testing, and Usability Testing."
"generate question: ['Visual Communication', ' User Experience', ' Branding', ' Interaction Design', ' Motion Graphics'] SINGLE-SELECT explanatory","Question: What are your main areas of expertise? Answer: Visual Communication, Branding, and Motion Graphics."
generate question: ['factory floor area'] NUMBER verbose,"Question: What is the floor area of the factory? Provide a number. Answer: The floor area of the factory is approximately 2,000 square feet. The floor area is approximately 2,000 square feet."
"generate question: ['Very Comfortable', ' Comfortable', ' Somewhat Comfortable', ' Uncomfortable'] SINGLE-SELECT explanatory",Question: How comfortable are you? Answer: Very comfortable.
"generate question: ['Iron ore', ' Crude oil', ' Limestone', ' Chemicals', ' Plastics'] MULTI-SELECT colloquial","Question: What is your industry's focus? Answer: Crude oil, Limestone, Plastics."
generate question: ['customer churn'] NUMBER colloquial,Question: What is the customer churn rate? Answer: The customer churn rate is the highest in the world.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
generate question: ['contact preference'] NUMBER explanatory,Question: What is your contact information? Provide a contact number. Answer: My contact information is not available at this time.
"generate question: ['Coding', ' Testing', ' Documentation', ' Community support'] MULTI-SELECT verbose","Question: What are your main areas of expertise? Answer: I've been working on a lot of things, and I've had a lot of fun doing it. I've learned a lot."
"generate question: ['Functional testing', ' Performance testing', ' Security testing', ' Usability testing', ' Regression testing'] MULTI-SELECT annoyed","Question: What types of testing methods do you use? Answer: Functional testing, Usability testing, Regression testing."
"generate question: ['Abstract', ' Realism', ' Surrealism', ' Impressionism', ' Pop Art'] SINGLE-SELECT verbose","Question: What genres of art do you prefer? Answer: I prefer Surrealism, Impressionism, and Pop Art."
generate question: ['Date'] DATE colloquial,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in.
generate question: ['Text'] TEXT verbose,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
"generate question: ['Trucks', ' Rail', ' Ships', ' Pipelines', ' Air'] MULTI-SELECT explanatory","Question: What types of transportation services do you use? Answer: I use a variety of transportation services, including rail, pipelines, and air."
generate question: ['Text'] TEXT colloquial,Question: What are your thoughts on this topic? Answer: I've been thinking about this for a long time. I've been thinking about it for a long time.
generate question: ['Text'] TEXT annoyed,Question: What are your thoughts on this topic? Answer: I'm not sure what to do about it.
